domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
slashdot.org,0.11514676872239568,0.11736879225372598,0.4868487172875888,0.12115305317697986,29.0
biztoc.com,0.018780921459492877,0.13016866299327373,0.29302772624201195,0.2635206298435126,21.0
economictimes.indiatimes.com,0.08065073815073814,0.10589461729239483,0.5471726884226884,0.1727893355323651,13.0
abcnews.go.com,0.06707190957190957,0.1285949867949914,0.35123617123617124,0.22731872106161682,9.0
www.thestar.com.my,0.19074074074074074,0.1464240680900834,0.5214616402116402,0.13482984150375218,9.0
www.abc.net.au,-0.024575416867083533,0.12549036138654904,0.4052593394260061,0.15977399481167348,9.0
www.cbsnews.com,0.05613906926406925,0.1867362628988549,0.6471699134199135,0.21456181270597538,8.0
www.channelnewsasia.com,0.03533820346320347,0.07749530302814474,0.44026283240568953,0.07938297590614903,7.0
newsonjapan.com,0.17197089947089947,0.18396579162565027,0.500978835978836,0.27724920988276314,6.0
www.naturalnews.com,0.05016666666666667,0.19871147425350152,0.36249999999999993,0.15161629200056304,5.0
indianexpress.com,-0.03674747474747475,0.21269456423552835,0.5956565656565657,0.20897791315572015,5.0
japantoday.com,0.06583333333333333,0.11548508802246095,0.4166666666666667,0.2550190624683226,5.0
www.aljazeera.com,0.1630681818181818,0.12078703080434396,0.39647727272727273,0.28199411731593943,4.0
www.yahoo.com,0.15472222222222223,0.11843761706401591,0.3873611111111111,0.12122096190402992,4.0
www.newser.com,0.021249999999999995,0.09967888256611643,0.4126388888888889,0.27330750216695615,4.0
freerepublic.com,0.06330492424242423,0.15331618765367194,0.2975,0.254927368014819,4.0
www.nbcnews.com,0.15571428571428572,0.1551211946640871,0.6819047619047619,0.22782417535301966,4.0
rollingout.com,-0.006250000000000015,0.3451109423069631,0.6828703703703703,0.15283037815040804,3.0
www.irishtimes.com,-0.0006746031746031819,0.0491734881312707,0.4695238095238095,0.3042436068935565,3.0
post.rlsbb.to,-0.5459876543209877,0.6349410591585612,0.8277777777777778,0.19743728493240947,3.0
crooksandliars.com,-0.02341269841269837,0.3294939029001521,0.44999999999999996,0.13228756555322943,3.0
nypost.com,0.08657196969696969,0.05517043504041099,0.3928787878787879,0.13690523758109105,3.0
www.thehindubusinessline.com,0.2284325396825397,0.16001652246629755,0.44492063492063494,0.21646515136065275,3.0
theweek.com,0.007575757575757569,0.26883907646734073,0.4710858585858586,0.10818113735178911,3.0
www.nature.com,0.047499999999999994,0.17560807055612349,0.48104166666666665,0.13258301251794413,3.0
www.npr.org,-0.008333333333333331,0.11273124382057235,0.05000000000000001,0.05,3.0
financialpost.com,0.1236904761904762,0.05890186985239809,0.5095238095238095,0.10135141263710837,3.0
consent.yahoo.com,-0.1708333333333333,0.07938566201357354,0.46249999999999997,0.15155444566227672,3.0
www.punknews.org,0.11036796536796536,0.40831590278127095,0.5069264069264069,0.022651905544504154,2.0
theconversation.com,0.0008333333333333803,0.4725830320930093,0.5952777777777778,0.05617570539426472,2.0
www.bbc.com,0.05625,0.008838834764831842,0.36333333333333334,0.193275853524323,2.0
www.bgr.com,0.04515625000000001,0.24063727647254696,0.72125,0.2174353352148634,2.0
timesofindia.indiatimes.com,0.0859375,0.012521682583511778,0.38645833333333335,0.03682847818679938,2.0
www.bostonherald.com,-0.01666666666666667,0.11785113019775792,0.26666666666666666,0.09428090415820632,2.0
www.businessinsider.com,0.123125,0.046845824253608774,0.401875,0.12639533713709536,2.0
www.cbc.ca,0.0740909090909091,0.10478036848491569,0.26,0.36769552621700474,2.0
www.sciencedaily.com,0.07265963203463202,0.1764131934340139,0.6618641774891776,0.03740242849620393,2.0
www.techradar.com,0.02874999999999997,0.48260037815981865,0.5279166666666667,0.22568491432870638,2.0
www.dw.com,0.075,0.10606601717798213,0.375,0.5303300858899106,2.0
www.huffpost.com,0.13113636363636366,0.15009948491550806,0.379,0.25314422766478406,2.0
english.gossiplankanews.com,-0.03714285714285713,0.10909647481163873,0.45607142857142857,0.14293658505413784,2.0
www.windowscentral.com,0.053041781450872356,0.04215694009966629,0.4918771043771044,0.011011342973022835,2.0
www.independent.ie,0.18125,0.04419417382415922,0.5875,0.12374368670764585,2.0
www.lifesciencesworld.com,0.15438988095238096,0.08365325759572993,0.639608134920635,0.05152479472038874,2.0
www.ibtimes.com,0.16060606060606059,0.014999234752441906,0.7536174242424243,0.19287408830773972,2.0
www.tmz.com,-0.025345289631003926,0.08843572132465025,0.41974850546279113,0.002215630400749414,2.0
apnews.com,0.09196428571428572,0.02904188565587607,0.47098214285714285,0.02083439623138935,2.0
news.sky.com,0.005460858585858555,0.27511989220029626,0.6906565656565655,0.03392684051147575,2.0
www.staradvertiser.com,0.0903030303030303,0.12770777017793403,0.24878787878787878,0.3518391923358518,2.0
www.ndtvprofit.com,0.12083333333333332,0.17088413878674896,0.4,0.09428090415820634,2.0
www.mensjournal.com,0.0,1.0,0.0,1.0,1.0
www.loudersound.com,0.0,1.0,0.0,1.0,1.0
www.livescience.com,0.0,1.0,0.0,1.0,1.0
www.middleeasteye.net,0.0,1.0,0.0,1.0,1.0
www.manufacturingdive.com,0.0,1.0,0.0,1.0,1.0
www.memeorandum.com,0.0,1.0,0.0,1.0,1.0
www.metalunderground.com,0.0,1.0,0.0,1.0,1.0
dailycaller.com,0.0,1.0,0.0,1.0,1.0
www.nzherald.co.nz,0.0,1.0,0.0,1.0,1.0
www.pbs.org,0.0,1.0,0.0,1.0,1.0
www.rt.com,0.0,1.0,0.0,1.0,1.0
www.rte.ie,0.0,1.0,0.0,1.0,1.0
www.sciencealert.com,0.0,1.0,0.0,1.0,1.0
www.scientificamerican.com,0.0,1.0,0.0,1.0,1.0
www.space.com,0.0,1.0,0.0,1.0,1.0
www.theepochtimes.com,0.0,1.0,0.0,1.0,1.0
www.thefocalpoints.com,0.0,1.0,0.0,1.0,1.0
www.thejournal.ie,0.0,1.0,0.0,1.0,1.0
www.thewrap.com,0.0,1.0,0.0,1.0,1.0
www.unexplained-mysteries.com,0.0,1.0,0.0,1.0,1.0
www.usatoday.com,0.0,1.0,0.0,1.0,1.0
www.usmagazine.com,0.0,1.0,0.0,1.0,1.0
www.wimp.com,0.0,1.0,0.0,1.0,1.0
www.kpbs.org,0.0,1.0,0.0,1.0,1.0
www.digitaljournal.com,0.0,1.0,0.0,1.0,1.0
www.insurancejournal.com,0.0,1.0,0.0,1.0,1.0
www.ign.com,0.0,1.0,0.0,1.0,1.0
